index,id,time,link,message,like,share,comment
423,1282973728458676_1783334358422608,1533427201,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1783333561756021/?type=3,แนะนำโปรแกรมน่าสนใจจากช่อง3 วันอาทิตย์ที่ 5 ส.ค. 61 ดูเพิ่มเติมได้ที่ www.ch3thailand.com #Ch3Thailand #ช่อง33 #ช่อง28 #ช่อง13 #3แซบ #BNK48 #นาฏราช #นาฏราชครั้งที่9 #ตีท้ายครัว #ศึก12ราศี #ใต้ปีกปักษา #MyHeroวีรบุรุษสุดที่รัก,282,1,3
424,1282973728458676_1783327275089983,1533422400,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1783326215090089/?type=3,ตารางออกอากาศ ประจำวันอาทิตย์ที่ 5 สิงหาคม 2561 ของ #ช่อง33 ติดตามผังรายการช่อง3 เพิ่มเติมที่ ch3thailand.com/ผังรายการช่อง3 #Ch3Thailand #ผังรายการช่อง33 #ช่อง3,195,2,3
425,1282973728458676_1783325248423519,1533422100,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1783324441756933/?type=3,ตารางออกอากาศ ประจำวันอาทิตย์ที่ 5 สิงหาคม 2561 ของ #ช่อง28 ติดตามผังรายการช่อง3 เพิ่มเติมที่ ch3thailand.com/ผังรายการช่อง3 #Ch3Thailand #ผังรายการช่อง28 #ช่อง3,22,0,0
426,1282973728458676_1783323015090409,1533421800,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1783322511757126/?type=3,ตารางออกอากาศ ประจำวันอาทิตย์ที่ 5 สิงหาคม 2561 ของ #ช่อง13 ติดตามผังรายการช่อง3 เพิ่มเติมที่ ch3thailand.com/ผังรายการช่อง3 #Ch3Thailand #ผังรายการช่อง13 #ช่อง3,20,2,1
427,1282973728458676_1782444761844901,1533388521,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1782444738511570/?type=3,เริ่มต้นเรื่องราวของ นักบินหนุ่ม ที่ต้องตามดูแลคนที่เกลียดเขาสุดหัวใจ ดูสด #ใต้ปีกปักษา พร้อมกันตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand,649,8,8
428,1282973728458676_1782453251844052,1533385857,https://www.facebook.com/CH3Thailand/posts/1782453251844052,เรื่องราวของ อคิน กับชีวิตนักบิน ที่ไม่ได้เหมือนอย่างใจหวังจะเป็นอย่างไร คืนนี้ ติดตาม ใต้ปีกปักษา (ตอนแรก) เวลา 20.15 น. เปิดทีวี #ช่อง33 ดูสดไปพร้อมกันค่ะ #Ch3Thailand,1039,9,4
429,1282973728458676_1781986785224032,1533382201,https://www.facebook.com/CH3Thailand/videos/1781986785224032/,"""สาริศา"" โกรธ ""อคิน"" เพราะเป็นต้นเหตุให้พ่อของเธอต้องขึ้นบินแทน แต่เกิดอุบัติเหตุเครื่องบินตกจนพ่อของเธอเสียชีวิต รับชม #MyHeroวีรบุรุษสุดที่รัก ตอน #ใต้ปีกปักษา คืนนี้ 20.15 น. เสนอเป็นตอนแรก ทาง #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",389,9,2
430,1282973728458676_1782008971888480,1533380400,https://www.facebook.com/CH3Thailand/videos/1782008971888480/,"ติดตามชมความรักของ ""พลทหารพัน"" ที่มีให้ ""ผู้กองฉวีผ่อง"" พร้อมความเฮฮาในละคร #ผู้กองยอดรัก ทุกวันเสาร์-อาทิตย์ เวลา 18.20 น. ทาง #ช่อง28 ดูออนไลน์ คลิก ch3thailand.com/live/28 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",437,7,3
431,1282973728458676_1782033755219335,1533379500,https://www.facebook.com/CH3Thailand/videos/1782033755219335/,คุณนัย ควงคู่ คุณนก สงบศึกสักพัก มาชวนแฟนๆ ดู #เกมเสน่หา 2 ตอนสุดท้ายกันค่ะ 😍😍 เจอกัน วันจันทร์-อังคารหน้า เวลา 20.20 น. มาดูสดให้กำลังใจทั้งคู่ พร้อมกันทาง #ช่อง33 นะคะ,961,,24
432,1282973728458676_1781971101892267,1533378600,https://www.facebook.com/CH3Thailand/videos/1781971101892267/,เธอจำต้องส่งทัพไปตีแคว้นบ้านเกิด เพื่อรวบรวมแผ่นดินให้เป็นหนึ่งเดียว ติดตามชม #หมี่เยี่ยจอมนางเหนือมังกร ทุกวันเสาร์-อาทิตย์ เวลา 18.20 น. ทาง #ช่อง13 ดูออนไลน์ คลิก ch3thailand.com/live/13 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand,98,4,0
