Weekday,timeInterval,checkHashtags,index,likeRank
Sunday,12-15,1,754,low
Sunday,6-9,1,755,low
Sunday,6-9,1,756,low
Sunday,0-3,1,757,low
Saturday,12-15,1,758,low
Saturday,9-12,1,759,low
Saturday,9-12,1,760,low
Saturday,6-9,1,761,low
Saturday,6-9,1,762,low
Saturday,0-3,1,763,low
Friday,12-15,1,764,low
Friday,12-15,1,765,low
Friday,9-12,1,766,low
Thursday,12-15,1,768,medium
Thursday,12-15,1,769,low
Thursday,6-9,1,770,medium
Wednesday,12-15,1,771,low
Wednesday,9-12,0,772,low
Wednesday,9-12,1,773,medium
Wednesday,3-6,1,774,high
Tuesday,15-18,1,775,medium
Tuesday,9-12,1,777,medium
Tuesday,9-12,1,778,medium
Monday,12-15,1,780,low
Sunday,6-9,1,782,low
Sunday,6-9,1,783,low
Sunday,3-6,1,784,medium
Tuesday,12-15,0,785,low
Tuesday,12-15,1,786,high
Tuesday,6-9,1,787,medium
Tuesday,0-3,1,788,medium
Monday,0-3,1,791,high
Sunday,15-18,1,792,medium
Sunday,12-15,1,793,low
Sunday,12-15,1,794,low
Sunday,12-15,1,795,low
Sunday,3-6,1,796,medium
Saturday,12-15,1,798,low
Saturday,12-15,1,799,medium
Saturday,6-9,1,800,low
Saturday,6-9,1,801,high
Saturday,3-6,1,802,low
Saturday,3-6,1,803,low
Friday,6-9,1,806,high
Friday,6-9,1,807,high
Friday,3-6,1,809,medium
Thursday,9-12,1,810,medium
Thursday,9-12,1,811,high
Thursday,6-9,1,812,medium
Wednesday,15-18,1,814,high
Wednesday,3-6,1,815,medium
Tuesday,15-18,1,816,low
Tuesday,9-12,1,817,low
Tuesday,9-12,1,818,low
Tuesday,9-12,1,819,high
Monday,6-9,1,822,medium
Monday,6-9,1,823,high
Monday,3-6,1,824,medium
Monday,0-3,1,825,medium
Sunday,6-9,1,826,low
Sunday,6-9,1,827,low
Saturday,9-12,1,829,low
Saturday,6-9,1,830,low
Friday,12-15,1,831,medium
Friday,9-12,1,833,high
Friday,6-9,1,834,high
Friday,3-6,1,835,high
Thursday,12-15,1,836,high
Thursday,9-12,1,837,medium
Thursday,9-12,1,838,high
Thursday,6-9,1,839,high
Thursday,6-9,1,840,high
Thursday,6-9,1,841,medium
Wednesday,12-15,1,842,medium
Wednesday,9-12,1,844,high
Wednesday,9-12,1,845,low
Wednesday,6-9,1,846,medium
Wednesday,3-6,1,847,medium
Tuesday,12-15,1,850,medium
Tuesday,9-12,1,851,medium
Monday,12-15,1,852,medium
Monday,12-15,0,853,low
Monday,9-12,1,854,high
Monday,9-12,1,855,high
Monday,6-9,1,856,medium
Monday,6-9,1,857,high
Monday,6-9,1,858,medium
Sunday,12-15,1,859,medium
Sunday,12-15,1,860,medium
Sunday,9-12,1,861,high
Sunday,3-6,1,862,high
Saturday,12-15,1,863,medium
Saturday,12-15,1,864,medium
Saturday,3-6,1,865,high
Friday,9-12,1,867,medium
Friday,9-12,1,868,medium
Friday,9-12,1,869,high
Friday,6-9,1,870,high
Friday,3-6,1,871,high
Thursday,9-12,1,872,medium
Thursday,9-12,1,873,high
Thursday,6-9,1,874,high
Wednesday,21-24,1,875,high
Wednesday,9-12,1,877,high
Wednesday,9-12,1,878,high
Wednesday,9-12,1,879,medium
Wednesday,6-9,1,880,high
Tuesday,12-15,1,882,medium
Tuesday,9-12,1,883,medium
Tuesday,0-3,1,884,low
Monday,9-12,1,885,low
Monday,6-9,1,886,high
Monday,3-6,1,887,high
Sunday,6-9,1,889,medium
Sunday,3-6,1,890,medium
Sunday,0-3,1,891,medium
Saturday,12-15,1,894,medium
Saturday,6-9,1,895,low
Saturday,0-3,1,896,medium
Friday,12-15,1,897,low
Friday,9-12,1,898,high
Friday,6-9,1,899,high
Friday,3-6,1,900,medium
Thursday,15-18,1,901,high
Thursday,9-12,1,903,medium
Thursday,9-12,1,904,medium
Thursday,6-9,1,905,high
Thursday,6-9,1,906,high
Thursday,3-6,1,907,high
Wednesday,9-12,1,909,high
Wednesday,6-9,1,910,medium
Wednesday,3-6,1,911,high
Tuesday,21-24,1,912,low
Tuesday,6-9,1,913,medium
Tuesday,3-6,1,914,medium
Monday,6-9,1,915,medium
Sunday,9-12,1,917,medium
Sunday,9-12,1,918,low
Sunday,6-9,1,919,high
Sunday,0-3,1,920,low
Saturday,15-18,1,921,medium
Saturday,12-15,1,923,low
Saturday,6-9,1,924,low
Saturday,3-6,1,925,low
Friday,9-12,1,929,high
Friday,9-12,1,930,high
Friday,9-12,1,931,high
Friday,6-9,1,932,medium
Friday,6-9,1,933,high
Thursday,15-18,1,934,high
Thursday,6-9,1,936,high
Wednesday,3-6,1,938,medium
Wednesday,0-3,1,939,medium
Tuesday,9-12,1,940,high
Tuesday,9-12,1,942,medium
Tuesday,6-9,1,943,medium
Tuesday,3-6,1,944,low
Monday,9-12,1,947,low
Monday,9-12,1,948,high
Monday,3-6,1,949,medium
Sunday,15-18,1,950,medium
Sunday,6-9,1,954,medium
Sunday,6-9,1,955,high
Sunday,3-6,1,956,low
Sunday,3-6,1,957,medium
Saturday,9-12,1,959,high
Saturday,9-12,1,960,medium
Saturday,6-9,1,961,high
Saturday,6-9,1,962,medium
Friday,15-18,1,963,low
Friday,9-12,1,966,low
Friday,6-9,1,967,medium
Thursday,9-12,1,968,medium
Thursday,6-9,1,969,medium
Thursday,3-6,1,970,medium
Wednesday,9-12,1,971,low
Wednesday,6-9,1,972,medium
Wednesday,3-6,1,974,low
Tuesday,15-18,1,975,low
Tuesday,9-12,1,976,medium
Tuesday,6-9,1,978,low
Monday,12-15,1,981,low
Monday,6-9,1,983,high
Sunday,9-12,1,985,high
Sunday,9-12,1,986,low
Sunday,6-9,1,987,high
Sunday,6-9,1,988,low
Sunday,6-9,1,989,medium
Sunday,3-6,1,990,medium
Sunday,3-6,1,991,high
Sunday,3-6,1,992,low
Sunday,0-3,1,993,low
Saturday,9-12,1,995,low
Saturday,9-12,1,996,low
Saturday,6-9,1,997,low
Friday,9-12,1,998,high
Friday,6-9,1,999,medium
Friday,3-6,1,1000,medium
Friday,0-3,1,1001,medium
Thursday,6-9,1,1002,medium
Thursday,3-6,1,1003,medium
Wednesday,6-9,1,1004,medium
Wednesday,6-9,1,1005,medium
Wednesday,3-6,1,1006,low
Wednesday,3-6,1,1007,high
Tuesday,6-9,1,1008,medium
Monday,3-6,1,1009,medium
Monday,3-6,1,1010,medium
Sunday,6-9,1,1011,low
Sunday,6-9,1,1012,low
Sunday,3-6,1,1013,low
Sunday,3-6,0,1014,low
Sunday,3-6,1,1015,medium
Saturday,6-9,0,1016,low
Saturday,6-9,1,1017,low
Saturday,6-9,1,1018,low
Saturday,6-9,1,1019,medium
Saturday,3-6,1,1020,low
Saturday,3-6,1,1021,medium
Saturday,3-6,0,1022,low
Saturday,3-6,0,1023,low
Saturday,3-6,0,1024,low
Saturday,3-6,1,1025,low
Friday,12-15,1,1026,low
Friday,12-15,1,1027,medium
Friday,9-12,1,1028,low
Friday,9-12,1,1030,low
Friday,9-12,1,1031,medium
Friday,6-9,1,1032,medium
Friday,6-9,1,1033,medium
Friday,6-9,1,1034,medium
Friday,3-6,1,1035,medium
Friday,3-6,1,1036,medium
Friday,0-3,0,1037,low
Friday,0-3,0,1038,low
Thursday,12-15,1,1039,medium
